id,person_weight,sex_of_respondent,sex_of_partner,personal_income_group,household_income_group,number_young_children_in_home,number_children_in_home,age_group_children,duration_sleeping_resting_relaxing_sick_in_bed,duration_personal_care,duration_health_professional_visit_consultation,duration_self_administered_medical_care,duration_meal_lunch_or_snack_preparation,duration_eating_or_drinking,duration_transport_to_and_from_activity,duration_paid_work,duration_looking_for_paid_work,duration_other_income_generating_activities,duration_paid_training,duration_break_or_lunch,duration_schooling_on_site,duration_schooling_online,duration_homework_or_studying,duration_self_development_or_leisure_courses,duration_preserving_foods,duration_indoor_house_cleaning,duration_garbage_recycling_unpacking_goods,duration_laudry_ironing_sewing_shoe_care,duration_repair_painting_removation,duration_organizing_planning_paying_bills,duration_packing_unpacking_groceries_luggage_boxes,duration_outdoor_maintenance,duration_planting_maintaining_garden_or_house_plants,duration_pet_care,duration_personal_care_of_child_14_under,duration_accompanying_care_of_child_14_under,duration_personal_care_of_child_15_plus,duration_accompanying_care_of_child_15_plus,duration_care_of_household_adult_personal_care,duration_care_of_household_adult_accompanying,duration_care_of_child_other_household_personal_care_accompanying,duration_care_of_adult_other_household_personal_care,duration_care_of_adult_other_household_accompanying,duration_helping_relatives_friends_neighbours_acquaintances,duration_shopping_or_buying_goods,duration_shopping_for_services,duration_researching_for_goods_and_services,duration_selling_goods_or_services,duration_socializing_or_communicating_in_person,duration_socializing_or_communicating_using_technology,duration_organizational_activities,duration_volunteer_work,duration_religious_activities,duration_civic_participation,duration_exercising,duration_organized_recreational_sports,duration_competitive_sports_indoor_or_outdoor,duration_outdoor_sports_non_competitive,duration_outdoor_activities,duration_coaching_or_administering_sports,duration_attending_cinema_exhibitions_library_concerts_theatre,duration_attending_sporting_events,duration_visiting_museums_art_galleries_heritage_sites_zoos,duration_arts_and_hobbies,duration_leisure_activities,duration_reading_online_or_paper_version,duration_writing,duration_watching_television_or_videos,duration_listening_to_music_or_radio,duration_use_of_technology,duration_other_activity,duration_uncodable_unknown_activity,duration_social_contact_alone,duration_social_contact_spouse_partner,duration_social_contact_household_children_15,duration_social_contact_household_children_15_2,duration_social_contact_parents_or_parents_in_law,duration_social_contact_other_household_adults,duration_social_contact_family_members_from_other_households,duration_social_contact_friend_s,duration_social_contact_colleague_s_classmate_s,duration_social_contact_other_people,duration_social_contact_not_stated,duration_at_home_or_on_property,duration_at_place_of_work_or_school,duration_away_on_business,duration_at_someone_elses_home_or_property,duration_in_the_neighbourhood,duration_outside,duration_at_the_grocery_store_other_stores_or_mall,duration_at_a_library_museum_or_theater,duration_at_a_sports_centre_field_or_arena,duration_at_a_restaurant_bar_or_club,duration_at_a_place_of_worship,duration_at_a_medical_dental_or_other_clinic,duration_elsewhere,duration_travel_car_driver,duration_travel_car_passenger,duration_travel_walking,duration_travel_bus_include_street_car_and_metro,duration_travel_airplane,duration_travel_bicycle,duration_travel_taxi_limousine_service,duration_travel_boat_ferry,duration_travel_other,total_duration_in_minutes_location_not_stated,sleep_duration_in_minutes_the_first_night,diff_income
10002,371.752,Female,Male,"$40,000 to $59,999","$140,000 or more",Three or more,Three,NA,570,30,0,0,0,0,30,480,0,0,0,0,0,0,0,0,0,120,15,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,45,0,0,630,675,495,0,0,0,0,75,0,315,0,1350,0,0,0,0,0,60,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,570,Ambiguous
10008,2479.2991,Female,Male,"$20,000 to $39,999","$60,000 to $79,999",One,One,All children under 5 years of age,525,45,0,0,40,70,75,410,0,0,0,35,0,0,0,0,0,30,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,30,845,405,0,0,0,0,0,555,40,0,830,465,0,0,20,0,10,0,30,0,0,0,10,5,70,0,0,0,0,0,0,0,0,525,"$20,000 to $39,999"
10010,284.989,Female,Male,"$40,000 to $59,999","$140,000 or more",Three or more,Four or more,All children between 5 and 12 years of age,480,30,0,0,50,20,10,441,0,0,0,15,0,0,0,0,0,0,0,35,0,30,0,0,0,0,115,150,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,10,689,974,0,0,0,0,0,456,0,0,964,466,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,420,Ambiguous
10012,1227.6668,Female,Male,"$20,000 to $39,999","$80,000 to $99,999",Three or more,Three,At least one child under 5 years of age but not all children,390,120,0,0,0,50,90,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,90,750,320,0,0,0,0,0,0,480,0,870,480,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,450,"$40,000 to $59,999"
10013,3309.1285,Male,Female,"Less than $20,000","$20,000 to $39,999",Three or more,Three,At least one child under 5 years of age but not all children,510,0,0,0,0,20,90,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,160,0,200,990,305,0,0,0,0,250,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,160,90,0,0,0,0,0,0,0,0,0,510,"Less than $20,000"
10014,3098.2266,Female,Male,"$40,000 to $59,999","$120,000 to $139,999",One,One,All children under 5 years of age,500,30,0,0,75,45,175,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,80,0,0,0,0,0,0,0,0,0,60,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,270,690,910,0,0,0,180,0,0,0,0,810,0,0,395,0,0,60,0,0,0,0,0,0,150,25,0,0,0,0,0,0,0,0,480,"$60,000 to $79,999"
10017,6425.5112,Male,Female,"$40,000 to $59,999","$60,000 to $79,999",None,Two,No child under 19 years of age at home,480,0,0,0,60,120,45,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,90,120,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,240,0,0,0,0,180,1260,0,210,0,0,405,0,0,195,0,1245,0,0,0,30,0,120,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,480,"Less than $20,000"
10019,3085.2629,Male,Female,"$40,000 to $59,999","$80,000 to $99,999",Two,Two,At least one child under 5 years of age but not all children,480,15,0,0,30,30,30,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,630,660,315,0,0,0,0,0,0,0,0,810,600,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,480,"$20,000 to $39,999"
10026,2287.9467,Female,Male,"$20,000 to $39,999","$40,000 to $59,999",Two,Two,NA,480,45,0,0,60,0,50,495,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,80,775,280,0,0,0,0,0,495,0,0,880,510,0,0,0,0,0,0,0,0,0,0,0,0,15,0,35,0,0,0,0,0,0,480,"Less than $20,000"
10033,9329.5107,Female,Male,"$60,000 to $79,999","$140,000 or more",One,Two,NA,420,90,0,0,75,45,70,0,0,0,0,0,0,0,0,0,0,70,0,0,0,60,10,30,0,15,165,25,0,35,0,0,0,0,0,60,65,0,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,0,15,45,0,385,510,470,285,60,0,0,0,0,0,0,1185,60,0,60,0,0,65,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,420,Ambiguous
